,Category,Attribute,2000_Castro/Upper Market,2010_Castro/Upper Market,2011_Castro/Upper Market,2012_Castro/Upper Market,2013_Castro/Upper Market,2014_Castro/Upper Market,2015_Castro/Upper Market,2016_Castro/Upper Market,2017_Castro/Upper Market,2018_Castro/Upper Market,2019_Castro/Upper Market,2020_Castro/Upper Market,2021_Castro/Upper Market,2022_Castro/Upper Market,2023_Castro/Upper Market,2024_Castro/Upper Market
227,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,6665.0,6861.0,6472.0,6413.0,6235.0,6304.0,6070.0,5964.0,5848.0,5950.0,5865.0,4908.0,5073.0,4451.0,4378.0,4108
218,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,5069.0,6698.0,6340.0,6296.0,6084.0,6130.0,5537.0,5508.0,5209.0,5950.0,5865.0,4178.0,5073.0,4451.0,4378.0,4108
221,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,6665.0,6861.0,6472.0,6413.0,6235.0,6304.0,6070.0,5964.0,5848.0,5950.0,5865.0,4908.0,5073.0,4451.0,4378.0,4108
224,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,6665.0,6861.0,6472.0,6413.0,6235.0,6304.0,6070.0,5964.0,5848.0,5950.0,5865.0,4908.0,5073.0,4451.0,4378.0,4108
225,Affordability,100 AMI Annual Income,71662.53716551041,101430.72289156629,109054.25219941347,112690.25875190258,114547.49439042632,118244.09780775716,120645.30685920575,127272.72727272728,138116.0164271047,143074.82656095145,162554.5171339564,123537.69497400348,188552.18855218857,198393.66515837103,200386.54698505413,200687.75038206828
226,Affordability,100 AMI Monthly Affordable Rent,5971.8780971258675,8452.560240963858,9087.854349951123,9390.854895991883,9545.624532535527,9853.674817313096,10053.77557160048,10606.060606060606,11509.66803559206,11922.90221341262,13546.209761163032,10294.80791450029,15712.682379349048,16532.805429864253,16698.878915421177,16723.97919850569
216,Affordability,30 AMI Annual Income,21498.76114965312,30429.216867469884,32716.27565982404,33807.077625570775,34364.248317127895,35473.22934232715,36193.59205776172,38181.818181818184,41434.80492813141,42922.447968285436,48766.35514018692,37061.30849220104,56565.65656565657,59518.09954751131,60115.96409551623,60206.32511462048
217,Affordability,30 AMI Monthly Affordable Rent,1791.56342913776,2535.768072289157,2726.356304985337,2817.2564687975646,2863.6873597606577,2956.102445193929,3016.1326714801435,3181.818181818182,3452.9004106776174,3576.8706640237865,4063.86292834891,3088.4423743500865,4713.804713804714,4959.841628959276,5009.663674626353,5017.1937595517065
219,Affordability,50 AMI Annual Income,35831.268582755205,50715.36144578314,54527.12609970674,56345.12937595129,57273.74719521316,59122.04890387858,60322.65342960288,63636.36363636364,69058.00821355236,71537.41328047572,81277.2585669782,61768.84748700174,94276.09427609429,99196.83257918552,100193.27349252706,100343.87519103414
220,Affordability,50 AMI Monthly Affordable Rent,2985.9390485629337,4226.280120481929,4543.927174975562,4695.427447995941,4772.812266267763,4926.837408656548,5026.88778580024,5303.030303030303,5754.83401779603,5961.45110670631,6773.104880581516,5147.403957250145,7856.341189674524,8266.402714932126,8349.439457710589,8361.989599252845
222,Affordability,80 AMI Annual Income,57330.02973240833,81144.57831325303,87243.40175953078,90152.20700152207,91637.99551234106,94595.27824620574,96516.2454873646,101818.18181818182,110492.81314168377,114459.86124876117,130043.61370716512,98830.15597920278,150841.75084175085,158714.93212669683,160309.23758804332,160550.20030565464
223,Affordability,80 AMI Monthly Affordable Rent,4777.502477700694,6762.048192771086,7270.283479960898,7512.683916793506,7636.4996260284215,7882.939853850478,8043.020457280384,8484.848484848486,9207.734428473648,9538.321770730097,10836.967808930427,8235.846331600233,12570.145903479237,13226.244343891403,13359.103132336944,13379.183358804554
0,Age,0-2 Years,0.5263157894736842,0.6395193591455274,0.6242690058479532,0.6806853582554517,0.7375,0.8054226475279107,0.7707581227436823,0.7009237875288684,0.6800766283524904,0.6676356589147286,0.6216494845360825,0.5966666666666667,0.5432432432432432,0.5372168284789643,0.5584415584415584,0.6380368098159509
1,Age,0-4 Years,0.0185527684660732,0.0322433921261434,0.0291647810127218,0.0277641518689296,0.0266498103666245,0.0291664610373587,0.0253680078508341,0.0378906435244463,0.0442514285714285,0.0466164181550057,0.0371522531330548,0.0482227756395743,0.026043711556079,0.0216593732042611,0.0236106066109698,0.0260207801676995
2,Age,18-34 Years,0.3589758409432435,0.271289230302724,0.2588122894353095,0.2619935249681154,0.2636156763590392,0.2541578246064255,0.2747301275760549,0.2864798216910893,0.28608,0.2787153858757988,0.3084614700915474,0.330229793977813,0.2679404964446189,0.2556248066127392,0.2569015619324373,0.259478672985782
